years,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
2156,0.8%,1.6%,0.7%,#DIV/0!,1.6%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,1.6%,0.7%,1.6%,1.6%,0.8%,0.7%,1.6%,0.9%,0.7%,0.7%,0.9%,0.9%,0.9%,0.9%,0.9%,0.8%,0.8%,1.6%,1.6%,0.7%,0.7%,0.9%,0.8%,1.6%,1.6%,1.6%,1.6%,0.9%,1.6%,1.6%,0.9%,#DIV/0!,0.7%,0.7%,0.7%,1.6%,0.9%,0.7%,0.9%,1.6%,0.9%,1.6%,1.6%,#DIV/0!,0.7%,0.7%,1.6%,0.7%,0.8%,0.7%,0.8%,1.6%,0.7%,0.7%,1.6%,1.6%,#DIV/0!,1.6%,1.6%,1.6%,0.7%,0.9%,0.9%,#DIV/0!,0.9%,0.8%,0.9%,0.7%,0.9%,0.7%,0.8%,0.8%,0.7%,1.6%,1.6%,0.7%,0.7%,0.7%,0.9%,1.6%,0.8%,0.7%,1.6%,0.7%,0.8%,0.9%,0.8%,1.6%,0.8%,1.6%,1.6%,1.6%,#DIV/0!,0.8%,1.6%,0.7%,0.7%,0.7%,1.6%,0.7%,1.6%,0.9%,0.7%,1.6%,0.8%,0.7%,0.8%,1.6%,1.6%,#DIV/0!,1.6%,1.6%,0.8%,1.6%,#DIV/0!,1.6%,1.6%,0.9%,0.7%,0.7%,0.8%,0.8%,0.7%,1.6%,0.8%,0.9%,0.9%,0.8%,0.8%,0.8%,0.7%,0.9%,#DIV/0!,0.7%,0.9%,1.6%,1.6%,#DIV/0!,0.7%,0.7%,1.6%,1.6%,1.6%,1.6%,0.8%,1.6%,0.9%,0.7%,#DIV/0!,0.7%,1.6%,1.6%,0.9%,0.7%,0.7%,0.7%,#DIV/0!,1.6%,1.6%,0.8%,0.7%,0.7%,0.8%,0.8%,0.9%,1.6%,0.7%,0.8%,#DIV/0!,1.6%,1.6%,0.7%,0.9%,0.7%,0.7%,0.9%,0.8%,0.8%,0.8%,1.6%,1.6%,1.6%,1.6%
2157,0.8%,1.6%,0.7%,#DIV/0!,1.6%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,1.6%,0.7%,1.6%,1.6%,0.8%,0.7%,1.6%,0.9%,0.7%,0.7%,0.9%,0.9%,0.9%,0.9%,0.9%,0.8%,0.8%,1.6%,1.6%,0.7%,0.7%,0.9%,0.8%,1.6%,1.6%,1.6%,1.6%,0.9%,1.6%,1.6%,0.9%,#DIV/0!,0.7%,0.7%,0.7%,1.6%,0.9%,0.7%,0.9%,1.6%,0.9%,1.6%,1.6%,#DIV/0!,0.7%,0.7%,1.6%,0.7%,0.8%,0.7%,0.8%,1.6%,0.7%,0.7%,1.6%,1.6%,#DIV/0!,1.6%,1.6%,1.6%,0.7%,0.9%,0.9%,#DIV/0!,0.9%,0.8%,0.9%,0.7%,0.9%,0.7%,0.8%,0.8%,0.7%,1.6%,1.6%,0.7%,0.7%,0.7%,0.9%,1.6%,0.8%,0.7%,1.6%,0.7%,0.8%,0.9%,0.8%,1.6%,0.8%,1.6%,1.6%,1.6%,#DIV/0!,0.8%,1.6%,0.7%,0.7%,0.7%,1.6%,0.7%,1.6%,0.9%,0.7%,1.6%,0.8%,0.7%,0.8%,1.6%,1.6%,#DIV/0!,1.6%,1.6%,0.8%,1.6%,#DIV/0!,1.6%,1.6%,0.9%,0.7%,0.7%,0.8%,0.8%,0.7%,1.6%,0.8%,0.9%,0.9%,0.8%,0.8%,0.8%,0.7%,0.9%,#DIV/0!,0.7%,0.9%,1.6%,1.6%,#DIV/0!,0.7%,0.7%,1.6%,1.6%,1.6%,1.6%,0.8%,1.6%,0.9%,0.7%,#DIV/0!,0.7%,1.6%,1.6%,0.9%,0.7%,0.7%,0.7%,#DIV/0!,1.6%,1.6%,0.8%,0.7%,0.7%,0.8%,0.8%,0.9%,1.6%,0.7%,0.8%,#DIV/0!,1.6%,1.6%,0.7%,0.9%,0.7%,0.7%,0.9%,0.8%,0.8%,0.8%,1.6%,1.6%,1.6%,1.6%
2158,0.8%,1.5%,0.7%,#DIV/0!,1.5%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,1.5%,0.7%,1.5%,1.5%,0.8%,0.7%,1.5%,0.9%,0.7%,0.7%,0.9%,0.9%,0.9%,0.9%,0.9%,0.8%,0.8%,1.5%,1.5%,0.7%,0.7%,0.9%,0.8%,1.5%,1.5%,1.5%,1.5%,0.9%,1.5%,1.5%,0.9%,#DIV/0!,0.7%,0.7%,0.7%,1.5%,0.9%,0.7%,0.9%,1.5%,0.9%,1.5%,1.5%,#DIV/0!,0.7%,0.7%,1.5%,0.7%,0.8%,0.7%,0.8%,1.5%,0.7%,0.7%,1.5%,1.5%,#DIV/0!,1.5%,1.5%,1.5%,0.7%,0.9%,0.9%,#DIV/0!,0.9%,0.8%,0.9%,0.7%,0.9%,0.7%,0.8%,0.8%,0.7%,1.5%,1.5%,0.7%,0.7%,0.7%,0.9%,1.5%,0.8%,0.7%,1.5%,0.7%,0.8%,0.9%,0.8%,1.5%,0.8%,1.5%,1.5%,1.5%,#DIV/0!,0.8%,1.5%,0.7%,0.7%,0.7%,1.5%,0.7%,1.5%,0.9%,0.7%,1.5%,0.8%,0.7%,0.8%,1.5%,1.5%,#DIV/0!,1.5%,1.5%,0.8%,1.5%,#DIV/0!,1.5%,1.5%,0.9%,0.7%,0.7%,0.8%,0.8%,0.7%,1.5%,0.8%,0.9%,0.9%,0.8%,0.8%,0.8%,0.7%,0.9%,#DIV/0!,0.7%,0.9%,1.5%,1.5%,#DIV/0!,0.7%,0.7%,1.5%,1.5%,1.5%,1.5%,0.8%,1.5%,0.9%,0.7%,#DIV/0!,0.7%,1.5%,1.5%,0.9%,0.7%,0.7%,0.7%,#DIV/0!,1.5%,1.5%,0.8%,0.7%,0.7%,0.8%,0.8%,0.9%,1.5%,0.7%,0.8%,#DIV/0!,1.5%,1.5%,0.7%,0.9%,0.7%,0.7%,0.9%,0.8%,0.8%,0.8%,1.5%,1.5%,1.5%,1.5%
2159,0.8%,1.5%,0.7%,#DIV/0!,1.5%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,1.5%,0.7%,1.5%,1.5%,0.8%,0.7%,1.5%,0.9%,0.7%,0.7%,0.9%,0.9%,0.9%,0.9%,0.9%,0.8%,0.8%,1.5%,1.5%,0.7%,0.7%,0.9%,0.8%,1.5%,1.5%,1.5%,1.5%,0.9%,1.5%,1.5%,0.9%,#DIV/0!,0.7%,0.7%,0.7%,1.5%,0.9%,0.7%,0.9%,1.5%,0.9%,1.5%,1.5%,#DIV/0!,0.7%,0.7%,1.5%,0.7%,0.8%,0.7%,0.8%,1.5%,0.7%,0.7%,1.5%,1.5%,#DIV/0!,1.5%,1.5%,1.5%,0.7%,0.9%,0.9%,#DIV/0!,0.9%,0.8%,0.9%,0.7%,0.9%,0.7%,0.8%,0.8%,0.7%,1.5%,1.5%,0.7%,0.7%,0.7%,0.9%,1.5%,0.8%,0.7%,1.5%,0.7%,0.8%,0.9%,0.8%,1.5%,0.8%,1.5%,1.5%,1.5%,#DIV/0!,0.8%,1.5%,0.7%,0.7%,0.7%,1.5%,0.7%,1.5%,0.9%,0.7%,1.5%,0.8%,0.7%,0.8%,1.5%,1.5%,#DIV/0!,1.5%,1.5%,0.8%,1.5%,#DIV/0!,1.5%,1.5%,0.9%,0.7%,0.7%,0.8%,0.8%,0.7%,1.5%,0.8%,0.9%,0.9%,0.8%,0.8%,0.8%,0.7%,0.9%,#DIV/0!,0.7%,0.9%,1.5%,1.5%,#DIV/0!,0.7%,0.7%,1.5%,1.5%,1.5%,1.5%,0.8%,1.5%,0.9%,0.7%,#DIV/0!,0.7%,1.5%,1.5%,0.9%,0.7%,0.7%,0.7%,#DIV/0!,1.5%,1.5%,0.8%,0.7%,0.7%,0.8%,0.8%,0.9%,1.5%,0.7%,0.8%,#DIV/0!,1.5%,1.5%,0.7%,0.9%,0.7%,0.7%,0.9%,0.8%,0.8%,0.8%,1.5%,1.5%,1.5%,1.5%
2160,0.8%,1.5%,0.7%,#DIV/0!,1.5%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,1.5%,0.7%,1.5%,1.5%,0.8%,0.7%,1.5%,0.9%,0.7%,0.7%,0.9%,0.9%,0.9%,0.9%,0.9%,0.8%,0.8%,1.5%,1.5%,0.7%,0.7%,0.9%,0.8%,1.5%,1.5%,1.5%,1.5%,0.9%,1.5%,1.5%,0.9%,#DIV/0!,0.7%,0.7%,0.7%,1.5%,0.9%,0.7%,0.9%,1.5%,0.9%,1.5%,1.5%,#DIV/0!,0.7%,0.7%,1.5%,0.7%,0.8%,0.7%,0.8%,1.5%,0.7%,0.7%,1.5%,1.5%,#DIV/0!,1.5%,1.5%,1.5%,0.7%,0.9%,0.9%,#DIV/0!,0.9%,0.8%,0.9%,0.7%,0.9%,0.7%,0.8%,0.8%,0.7%,1.5%,1.5%,0.7%,0.7%,0.7%,0.9%,1.5%,0.8%,0.7%,1.5%,0.7%,0.8%,0.9%,0.8%,1.5%,0.8%,1.5%,1.5%,1.5%,#DIV/0!,0.8%,1.5%,0.7%,0.7%,0.7%,1.5%,0.7%,1.5%,0.9%,0.7%,1.5%,0.8%,0.7%,0.8%,1.5%,1.5%,#DIV/0!,1.5%,1.5%,0.8%,1.5%,#DIV/0!,1.5%,1.5%,0.9%,0.7%,0.7%,0.8%,0.8%,0.7%,1.5%,0.8%,0.9%,0.9%,0.8%,0.8%,0.8%,0.7%,0.9%,#DIV/0!,0.7%,0.9%,1.5%,1.5%,#DIV/0!,0.7%,0.7%,1.5%,1.5%,1.5%,1.5%,0.8%,1.5%,0.9%,0.7%,#DIV/0!,0.7%,1.5%,1.5%,0.9%,0.7%,0.7%,0.7%,#DIV/0!,1.5%,1.5%,0.8%,0.7%,0.7%,0.8%,0.8%,0.9%,1.5%,0.7%,0.8%,#DIV/0!,1.5%,1.5%,0.7%,0.9%,0.7%,0.7%,0.9%,0.8%,0.8%,0.8%,1.5%,1.5%,1.5%,1.5%
2161,0.8%,1.5%,0.7%,#DIV/0!,1.5%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,1.5%,0.7%,1.5%,1.5%,0.8%,0.7%,1.5%,0.9%,0.7%,0.7%,0.9%,0.9%,0.9%,0.9%,0.9%,0.8%,0.8%,1.5%,1.5%,0.7%,0.7%,0.9%,0.8%,1.5%,1.5%,1.5%,1.5%,0.9%,1.5%,1.5%,0.9%,#DIV/0!,0.7%,0.7%,0.7%,1.5%,0.9%,0.7%,0.9%,1.5%,0.9%,1.5%,1.5%,#DIV/0!,0.7%,0.7%,1.5%,0.7%,0.8%,0.7%,0.8%,1.5%,0.7%,0.7%,1.5%,1.5%,#DIV/0!,1.5%,1.5%,1.5%,0.7%,0.9%,0.9%,#DIV/0!,0.9%,0.8%,0.9%,0.7%,0.9%,0.7%,0.8%,0.8%,0.7%,1.5%,1.5%,0.7%,0.7%,0.7%,0.9%,1.5%,0.8%,0.7%,1.5%,0.7%,0.8%,0.9%,0.8%,1.5%,0.8%,1.5%,1.5%,1.5%,#DIV/0!,0.8%,1.5%,0.7%,0.7%,0.7%,1.5%,0.7%,1.5%,0.9%,0.7%,1.5%,0.8%,0.7%,0.8%,1.5%,1.5%,#DIV/0!,1.5%,1.5%,0.8%,1.5%,#DIV/0!,1.5%,1.5%,0.9%,0.7%,0.7%,0.8%,0.8%,0.7%,1.5%,0.8%,0.9%,0.9%,0.8%,0.8%,0.8%,0.7%,0.9%,#DIV/0!,0.7%,0.9%,1.5%,1.5%,#DIV/0!,0.7%,0.7%,1.5%,1.5%,1.5%,1.5%,0.8%,1.5%,0.9%,0.7%,#DIV/0!,0.7%,1.5%,1.5%,0.9%,0.7%,0.7%,0.7%,#DIV/0!,1.5%,1.5%,0.8%,0.7%,0.7%,0.8%,0.8%,0.9%,1.5%,0.7%,0.8%,#DIV/0!,1.5%,1.5%,0.7%,0.9%,0.7%,0.7%,0.9%,0.8%,0.8%,0.8%,1.5%,1.5%,1.5%,1.5%
2162,0.8%,1.5%,0.7%,#DIV/0!,1.5%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,1.5%,0.7%,1.5%,1.5%,0.8%,0.7%,1.5%,0.9%,0.7%,0.7%,0.9%,0.9%,0.9%,0.9%,0.9%,0.8%,0.8%,1.5%,1.5%,0.7%,0.7%,0.9%,0.8%,1.5%,1.5%,1.5%,1.5%,0.9%,1.5%,1.5%,0.9%,#DIV/0!,0.7%,0.7%,0.7%,1.5%,0.9%,0.7%,0.9%,1.5%,0.9%,1.5%,1.5%,#DIV/0!,0.7%,0.7%,1.5%,0.7%,0.8%,0.7%,0.8%,1.5%,0.7%,0.7%,1.5%,1.5%,#DIV/0!,1.5%,1.5%,1.5%,0.7%,0.9%,0.9%,#DIV/0!,0.9%,0.8%,0.9%,0.7%,0.9%,0.7%,0.8%,0.8%,0.7%,1.5%,1.5%,0.7%,0.7%,0.7%,0.9%,1.5%,0.8%,0.7%,1.5%,0.7%,0.8%,0.9%,0.8%,1.5%,0.8%,1.5%,1.5%,1.5%,#DIV/0!,0.8%,1.5%,0.7%,0.7%,0.7%,1.5%,0.7%,1.5%,0.9%,0.7%,1.5%,0.8%,0.7%,0.8%,1.5%,1.5%,#DIV/0!,1.5%,1.5%,0.8%,1.5%,#DIV/0!,1.5%,1.5%,0.9%,0.7%,0.7%,0.8%,0.8%,0.7%,1.5%,0.8%,0.9%,0.9%,0.8%,0.8%,0.8%,0.7%,0.9%,#DIV/0!,0.7%,0.9%,1.5%,1.5%,#DIV/0!,0.7%,0.7%,1.5%,1.5%,1.5%,1.5%,0.8%,1.5%,0.9%,0.7%,#DIV/0!,0.7%,1.5%,1.5%,0.9%,0.7%,0.7%,0.7%,#DIV/0!,1.5%,1.5%,0.8%,0.7%,0.7%,0.8%,0.8%,0.9%,1.5%,0.7%,0.8%,#DIV/0!,1.5%,1.5%,0.7%,0.9%,0.7%,0.7%,0.9%,0.8%,0.8%,0.8%,1.5%,1.5%,1.5%,1.5%
2163,0.8%,1.5%,0.7%,#DIV/0!,1.5%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,1.5%,0.7%,1.5%,1.5%,0.8%,0.7%,1.5%,0.9%,0.7%,0.7%,0.9%,0.9%,0.9%,0.9%,0.9%,0.8%,0.8%,1.5%,1.5%,0.7%,0.7%,0.9%,0.8%,1.5%,1.5%,1.5%,1.5%,0.9%,1.5%,1.5%,0.9%,#DIV/0!,0.7%,0.7%,0.7%,1.5%,0.9%,0.7%,0.9%,1.5%,0.9%,1.5%,1.5%,#DIV/0!,0.7%,0.7%,1.5%,0.7%,0.8%,0.7%,0.8%,1.5%,0.7%,0.7%,1.5%,1.5%,#DIV/0!,1.5%,1.5%,1.5%,0.7%,0.9%,0.9%,#DIV/0!,0.9%,0.8%,0.9%,0.7%,0.9%,0.7%,0.8%,0.8%,0.7%,1.5%,1.5%,0.7%,0.7%,0.7%,0.9%,1.5%,0.8%,0.7%,1.5%,0.7%,0.8%,0.9%,0.8%,1.5%,0.8%,1.5%,1.5%,1.5%,#DIV/0!,0.8%,1.5%,0.7%,0.7%,0.7%,1.5%,0.7%,1.5%,0.9%,0.7%,1.5%,0.8%,0.7%,0.8%,1.5%,1.5%,#DIV/0!,1.5%,1.5%,0.8%,1.5%,#DIV/0!,1.5%,1.5%,0.9%,0.7%,0.7%,0.8%,0.8%,0.7%,1.5%,0.8%,0.9%,0.9%,0.8%,0.8%,0.8%,0.7%,0.9%,#DIV/0!,0.7%,0.9%,1.5%,1.5%,#DIV/0!,0.7%,0.7%,1.5%,1.5%,1.5%,1.5%,0.8%,1.5%,0.9%,0.7%,#DIV/0!,0.7%,1.5%,1.5%,0.9%,0.7%,0.7%,0.7%,#DIV/0!,1.5%,1.5%,0.8%,0.7%,0.7%,0.8%,0.8%,0.9%,1.5%,0.7%,0.8%,#DIV/0!,1.5%,1.5%,0.7%,0.9%,0.7%,0.7%,0.9%,0.8%,0.8%,0.8%,1.5%,1.5%,1.5%,1.5%
2164,0.8%,1.5%,0.7%,#DIV/0!,1.5%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,1.5%,0.7%,1.5%,1.5%,0.8%,0.7%,1.5%,0.9%,0.7%,0.7%,0.9%,0.9%,0.9%,0.9%,0.9%,0.8%,0.8%,1.5%,1.5%,0.7%,0.7%,0.9%,0.8%,1.5%,1.5%,1.5%,1.5%,0.9%,1.5%,1.5%,0.9%,#DIV/0!,0.7%,0.7%,0.7%,1.5%,0.9%,0.7%,0.9%,1.5%,0.9%,1.5%,1.5%,#DIV/0!,0.7%,0.7%,1.5%,0.7%,0.8%,0.7%,0.8%,1.5%,0.7%,0.7%,1.5%,1.5%,#DIV/0!,1.5%,1.5%,1.5%,0.7%,0.9%,0.9%,#DIV/0!,0.9%,0.8%,0.9%,0.7%,0.9%,0.7%,0.8%,0.8%,0.7%,1.5%,1.5%,0.7%,0.7%,0.7%,0.9%,1.5%,0.8%,0.7%,1.5%,0.7%,0.8%,0.9%,0.8%,1.5%,0.8%,1.5%,1.5%,1.5%,#DIV/0!,0.8%,1.5%,0.7%,0.7%,0.7%,1.5%,0.7%,1.5%,0.9%,0.7%,1.5%,0.8%,0.7%,0.8%,1.5%,1.5%,#DIV/0!,1.5%,1.5%,0.8%,1.5%,#DIV/0!,1.5%,1.5%,0.9%,0.7%,0.7%,0.8%,0.8%,0.7%,1.5%,0.8%,0.9%,0.9%,0.8%,0.8%,0.8%,0.7%,0.9%,#DIV/0!,0.7%,0.9%,1.5%,1.5%,#DIV/0!,0.7%,0.7%,1.5%,1.5%,1.5%,1.5%,0.8%,1.5%,0.9%,0.7%,#DIV/0!,0.7%,1.5%,1.5%,0.9%,0.7%,0.7%,0.7%,#DIV/0!,1.5%,1.5%,0.8%,0.7%,0.7%,0.8%,0.8%,0.9%,1.5%,0.7%,0.8%,#DIV/0!,1.5%,1.5%,0.7%,0.9%,0.7%,0.7%,0.9%,0.8%,0.8%,0.8%,1.5%,1.5%,1.5%,1.5%
2165,0.8%,1.5%,0.7%,#DIV/0!,1.5%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,1.5%,0.7%,1.5%,1.5%,0.8%,0.7%,1.5%,0.9%,0.7%,0.7%,0.9%,0.9%,0.9%,0.9%,0.9%,0.8%,0.8%,1.5%,1.5%,0.7%,0.7%,0.9%,0.8%,1.5%,1.5%,1.5%,1.5%,0.9%,1.5%,1.5%,0.9%,#DIV/0!,0.7%,0.7%,0.7%,1.5%,0.9%,0.7%,0.9%,1.5%,0.9%,1.5%,1.5%,#DIV/0!,0.7%,0.7%,1.5%,0.7%,0.8%,0.7%,0.8%,1.5%,0.7%,0.7%,1.5%,1.5%,#DIV/0!,1.5%,1.5%,1.5%,0.7%,0.9%,0.9%,#DIV/0!,0.9%,0.8%,0.9%,0.7%,0.9%,0.7%,0.8%,0.8%,0.7%,1.5%,1.5%,0.7%,0.7%,0.7%,0.9%,1.5%,0.8%,0.7%,1.5%,0.7%,0.8%,0.9%,0.8%,1.5%,0.8%,1.5%,1.5%,1.5%,#DIV/0!,0.8%,1.5%,0.7%,0.7%,0.7%,1.5%,0.7%,1.5%,0.9%,0.7%,1.5%,0.8%,0.7%,0.8%,1.5%,1.5%,#DIV/0!,1.5%,1.5%,0.8%,1.5%,#DIV/0!,1.5%,1.5%,0.9%,0.7%,0.7%,0.8%,0.8%,0.7%,1.5%,0.8%,0.9%,0.9%,0.8%,0.8%,0.8%,0.7%,0.9%,#DIV/0!,0.7%,0.9%,1.5%,1.5%,#DIV/0!,0.7%,0.7%,1.5%,1.5%,1.5%,1.5%,0.8%,1.5%,0.9%,0.7%,#DIV/0!,0.7%,1.5%,1.5%,0.9%,0.7%,0.7%,0.7%,#DIV/0!,1.5%,1.5%,0.8%,0.7%,0.7%,0.8%,0.8%,0.9%,1.5%,0.7%,0.8%,#DIV/0!,1.5%,1.5%,0.7%,0.9%,0.7%,0.7%,0.9%,0.8%,0.8%,0.8%,1.5%,1.5%,1.5%,1.5%
2166,0.7%,1.4%,0.7%,#DIV/0!,1.4%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,1.4%,0.7%,1.4%,1.4%,0.7%,0.7%,1.4%,0.9%,0.7%,0.7%,0.9%,0.9%,0.9%,0.9%,0.9%,0.7%,0.7%,1.4%,1.4%,0.7%,0.7%,0.9%,0.7%,1.4%,1.4%,1.4%,1.4%,0.9%,1.4%,1.4%,0.9%,#DIV/0!,0.7%,0.7%,0.7%,1.4%,0.9%,0.7%,0.9%,1.4%,0.9%,1.4%,1.4%,#DIV/0!,0.7%,0.7%,1.4%,0.7%,0.7%,0.7%,0.7%,1.4%,0.7%,0.7%,1.4%,1.4%,#DIV/0!,1.4%,1.4%,1.4%,0.7%,0.9%,0.9%,#DIV/0!,0.9%,0.7%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,0.7%,1.4%,1.4%,0.7%,0.7%,0.7%,0.9%,1.4%,0.7%,0.7%,1.4%,0.7%,0.7%,0.9%,0.7%,1.4%,0.7%,1.4%,1.4%,1.4%,#DIV/0!,0.7%,1.4%,0.7%,0.7%,0.7%,1.4%,0.7%,1.4%,0.9%,0.7%,1.4%,0.7%,0.7%,0.7%,1.4%,1.4%,#DIV/0!,1.4%,1.4%,0.7%,1.4%,#DIV/0!,1.4%,1.4%,0.9%,0.7%,0.7%,0.7%,0.7%,0.7%,1.4%,0.7%,0.9%,0.9%,0.7%,0.7%,0.7%,0.7%,0.9%,#DIV/0!,0.7%,0.9%,1.4%,1.4%,#DIV/0!,0.7%,0.7%,1.4%,1.4%,1.4%,1.4%,0.7%,1.4%,0.9%,0.7%,#DIV/0!,0.7%,1.4%,1.4%,0.9%,0.7%,0.7%,0.7%,#DIV/0!,1.4%,1.4%,0.7%,0.7%,0.7%,0.7%,0.7%,0.9%,1.4%,0.7%,0.7%,#DIV/0!,1.4%,1.4%,0.7%,0.9%,0.7%,0.7%,0.9%,0.7%,0.7%,0.7%,1.4%,1.4%,1.4%,1.4%
2167,0.7%,1.4%,0.7%,#DIV/0!,1.4%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,1.4%,0.7%,1.4%,1.4%,0.7%,0.7%,1.4%,0.9%,0.7%,0.7%,0.9%,0.9%,0.9%,0.9%,0.9%,0.7%,0.7%,1.4%,1.4%,0.7%,0.7%,0.9%,0.7%,1.4%,1.4%,1.4%,1.4%,0.9%,1.4%,1.4%,0.9%,#DIV/0!,0.7%,0.7%,0.7%,1.4%,0.9%,0.7%,0.9%,1.4%,0.9%,1.4%,1.4%,#DIV/0!,0.7%,0.7%,1.4%,0.7%,0.7%,0.7%,0.7%,1.4%,0.7%,0.7%,1.4%,1.4%,#DIV/0!,1.4%,1.4%,1.4%,0.7%,0.9%,0.9%,#DIV/0!,0.9%,0.7%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,0.7%,1.4%,1.4%,0.7%,0.7%,0.7%,0.9%,1.4%,0.7%,0.7%,1.4%,0.7%,0.7%,0.9%,0.7%,1.4%,0.7%,1.4%,1.4%,1.4%,#DIV/0!,0.7%,1.4%,0.7%,0.7%,0.7%,1.4%,0.7%,1.4%,0.9%,0.7%,1.4%,0.7%,0.7%,0.7%,1.4%,1.4%,#DIV/0!,1.4%,1.4%,0.7%,1.4%,#DIV/0!,1.4%,1.4%,0.9%,0.7%,0.7%,0.7%,0.7%,0.7%,1.4%,0.7%,0.9%,0.9%,0.7%,0.7%,0.7%,0.7%,0.9%,#DIV/0!,0.7%,0.9%,1.4%,1.4%,#DIV/0!,0.7%,0.7%,1.4%,1.4%,1.4%,1.4%,0.7%,1.4%,0.9%,0.7%,#DIV/0!,0.7%,1.4%,1.4%,0.9%,0.7%,0.7%,0.7%,#DIV/0!,1.4%,1.4%,0.7%,0.7%,0.7%,0.7%,0.7%,0.9%,1.4%,0.7%,0.7%,#DIV/0!,1.4%,1.4%,0.7%,0.9%,0.7%,0.7%,0.9%,0.7%,0.7%,0.7%,1.4%,1.4%,1.4%,1.4%
2168,0.7%,1.4%,0.7%,#DIV/0!,1.4%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,1.4%,0.7%,1.4%,1.4%,0.7%,0.7%,1.4%,0.9%,0.7%,0.7%,0.9%,0.9%,0.9%,0.9%,0.9%,0.7%,0.7%,1.4%,1.4%,0.7%,0.7%,0.9%,0.7%,1.4%,1.4%,1.4%,1.4%,0.9%,1.4%,1.4%,0.9%,#DIV/0!,0.7%,0.7%,0.7%,1.4%,0.9%,0.7%,0.9%,1.4%,0.9%,1.4%,1.4%,#DIV/0!,0.7%,0.7%,1.4%,0.7%,0.7%,0.7%,0.7%,1.4%,0.7%,0.7%,1.4%,1.4%,#DIV/0!,1.4%,1.4%,1.4%,0.7%,0.9%,0.9%,#DIV/0!,0.9%,0.7%,0.9%,0.7%,0.9%,0.7%,0.7%,0.7%,0.7%,1.4%,1.4%,0.7%,0.7%,0.7%,0.9%,1.4%,0.7%,0.7%,1.4%,0.7%,0.7%,0.9%,0.7%,1.4%,0.7%,1.4%,1.4%,1.4%,#DIV/0!,0.7%,1.4%,0.7%,0.7%,0.7%,1.4%,0.7%,1.4%,0.9%,0.7%,1.4%,0.7%,0.7%,0.7%,1.4%,1.4%,#DIV/0!,1.4%,1.4%,0.7%,1.4%,#DIV/0!,1.4%,1.4%,0.9%,0.7%,0.7%,0.7%,0.7%,0.7%,1.4%,0.7%,0.9%,0.9%,0.7%,0.7%,0.7%,0.7%,0.9%,#DIV/0!,0.7%,0.9%,1.4%,1.4%,#DIV/0!,0.7%,0.7%,1.4%,1.4%,1.4%,1.4%,0.7%,1.4%,0.9%,0.7%,#DIV/0!,0.7%,1.4%,1.4%,0.9%,0.7%,0.7%,0.7%,#DIV/0!,1.4%,1.4%,0.7%,0.7%,0.7%,0.7%,0.7%,0.9%,1.4%,0.7%,0.7%,#DIV/0!,1.4%,1.4%,0.7%,0.9%,0.7%,0.7%,0.9%,0.7%,0.7%,0.7%,1.4%,1.4%,1.4%,1.4%
